date,US covid deaths
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,18.0
2020-03-09,18.0
2020-03-10,18.0
2020-03-11,18.0
2020-03-12,18.0
2020-03-13,18.0
2020-03-14,18.0
2020-03-15,50.0
2020-03-16,50.0
2020-03-17,50.0
2020-03-18,50.0
2020-03-19,50.0
2020-03-20,50.0
2020-03-21,50.0
2020-03-22,305.0
2020-03-23,305.0
2020-03-24,305.0
2020-03-25,305.0
2020-03-26,305.0
2020-03-27,305.0
2020-03-28,305.0
2020-03-29,1732.0
2020-03-30,1732.0
2020-03-31,1732.0
2020-04-01,1732.0
2020-04-02,1732.0
2020-04-03,1732.0
2020-04-04,1732.0
2020-04-05,6642.0
2020-04-06,6642.0
2020-04-07,6642.0
2020-04-08,6642.0
2020-04-09,6642.0
2020-04-10,6642.0
2020-04-11,6642.0
2020-04-12,13889.0
2020-04-13,13889.0
2020-04-14,13889.0
2020-04-15,13889.0
2020-04-16,13889.0
2020-04-17,13889.0
2020-04-18,13889.0
2020-04-19,15898.0
2020-04-20,15898.0
2020-04-21,15898.0
2020-04-22,15898.0
2020-04-23,15898.0
2020-04-24,15898.0
2020-04-25,15898.0
2020-04-26,14899.0
2020-04-27,14899.0
2020-04-28,14899.0
2020-04-29,14899.0
2020-04-30,14899.0
