,Open,High,Low,Close,Adj Close,Volume,US covid deaths
2020-01-06,157.82000732421875,159.05999755859375,157.7899932861328,159.05999755859375,149.05210876464844,5500,0.0
2020-01-07,158.58999633789062,158.88999938964844,157.9600067138672,158.6300048828125,148.64920043945312,16500,0.0
2020-01-08,158.30999755859375,159.1300048828125,157.9499969482422,158.32000732421875,148.35867309570312,7900,0.0
2020-01-09,158.17999267578125,159.4499969482422,158.17999267578125,159.05999755859375,149.05210876464844,7200,0.0
2020-01-10,159.1999969482422,160.1199951171875,159.1999969482422,159.47999572753906,149.44566345214844,5900,0.0
2020-01-13,160.11000061035156,160.22999572753906,159.07000732421875,160.22999572753906,150.14852905273438,7000,0.0
2020-01-14,160.1300048828125,162.74000549316406,160.1300048828125,162.74000549316406,152.50059509277344,3100,0.0
2020-01-15,164.0,164.8699951171875,164.0,164.74000549316406,154.37478637695312,6900,0.0
2020-01-16,165.1699981689453,165.6999969482422,164.64999389648438,165.25,154.8526611328125,45000,0.0
2020-01-17,165.55999755859375,165.55999755859375,164.58999633789062,164.58999633789062,154.23416137695312,7100,0.0
2020-01-21,163.69000244140625,165.13999938964844,163.69000244140625,164.5800018310547,154.2248077392578,18900,0.0
2020-01-22,164.55999755859375,165.02999877929688,164.1999969482422,164.50999450683594,154.1592254638672,14400,0.0
2020-01-23,163.49000549316406,163.83999633789062,162.6999969482422,163.77000427246094,153.4657745361328,6400,0.0
2020-01-24,163.24000549316406,163.24000549316406,160.3699951171875,160.61000061035156,150.50460815429688,7400,0.0
2020-01-27,158.3300018310547,160.97000122070312,158.0,160.3800048828125,150.28907775878906,7400,0.0
2020-01-28,160.52000427246094,161.75999450683594,160.52000427246094,161.52000427246094,151.3573455810547,8400,0.0
2020-01-29,161.77999877929688,162.74000549316406,161.77999877929688,161.9199981689453,151.73216247558594,3600,0.0
2020-01-30,160.77000427246094,161.2899932861328,160.25,160.97000122070312,150.8419647216797,4400,0.0
2020-01-31,160.66000366210938,160.66000366210938,159.1699981689453,159.22999572753906,149.21144104003906,5300,0.0
2020-02-03,161.00999450683594,162.13999938964844,160.94000244140625,161.72000122070312,151.54476928710938,129800,0.0
2020-02-04,163.57000732421875,164.39999389648438,163.3800048828125,163.6300048828125,153.3345947265625,23700,0.0
2020-02-05,163.8000030517578,165.02000427246094,163.55999755859375,164.22999572753906,153.89682006835938,21100,0.0
2020-02-06,165.1199951171875,165.1199951171875,164.05999755859375,164.41000366210938,154.06552124023438,5400,0.0
2020-02-07,163.97000122070312,163.97000122070312,162.5399932861328,162.8699951171875,152.62237548828125,2100,0.0
2020-02-10,162.6699981689453,163.97999572753906,162.6699981689453,163.97999572753906,153.6625518798828,21200,0.0
2020-02-11,164.75999450683594,164.75999450683594,163.6999969482422,163.97999572753906,153.6625518798828,3300,0.0
2020-02-12,164.38999938964844,164.38999938964844,162.57000732421875,162.57000732421875,152.34129333496094,4800,0.0
2020-02-13,161.75,161.83999633789062,161.00999450683594,161.00999450683594,150.8794403076172,20000,0.0
2020-02-14,161.6699981689453,161.6699981689453,160.72000122070312,161.19000244140625,151.04811096191406,3400,0.0
2020-02-18,161.1300048828125,161.1300048828125,160.0500030517578,160.27999877929688,150.1953582763672,5400,0.0
2020-02-19,160.67999267578125,160.67999267578125,159.94000244140625,159.94000244140625,149.87677001953125,3400,0.0
2020-02-20,160.13999938964844,160.2100067138672,158.61000061035156,159.72000122070312,149.6705780029297,9100,0.0
2020-02-21,159.5399932861328,160.08999633789062,159.02999877929688,159.9499969482422,149.88612365722656,2900,0.0
2020-02-24,156.55999755859375,157.5,155.2100067138672,155.86000061035156,146.053466796875,8500,0.0
2020-02-25,156.83999633789062,156.83999633789062,152.60000610351562,153.22000122070312,143.57958984375,11200,0.0
2020-02-26,153.9199981689453,155.1999969482422,152.10000610351562,152.2899932861328,142.7080841064453,18500,0.0
2020-02-27,150.27000427246094,152.6300048828125,147.0,147.0,137.7509307861328,14700,0.0
2020-02-28,143.88999938964844,144.66000366210938,140.7100067138672,144.66000366210938,135.55813598632812,19200,0.0
